dataset,seed,target_hetero_ratio_threshold,strategy,pool_ratio,pool_node_ratio,hetero_edge_ratio,hetero_node_ratio_any,target_node_ratio,pool_count,hetero_node_count,overlap_count,precision,recall,f1,iou,score_mean_overlap,score_mean_missed_hetero
chameleon,0,0.0,degree,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.9762845849802372,455.0,2223.0,455.0,1.0,0.2046783625730994,0.3398058252427184,0.2046783625730994,90.76703643798828,12.034502029418945
chameleon,0,0.5,degree,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.8880105401844532,455.0,2022.0,434.0,0.9538461538461539,0.21463897131552917,0.3504238998788858,0.21243269701419482,91.82027435302734,12.232367515563965
chameleon,0,0.75,degree,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.5814668423364076,455.0,1324.0,262.0,0.5758241758241758,0.19788519637462235,0.29454749859471613,0.17270929466051418,88.0114517211914,11.772128105163574
chameleon,0,0.0,degree,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.9762845849802372,683.0,2223.0,683.0,1.0,0.307242465137202,0.47006194081211283,0.307242465137202,70.26061248779297,9.472726821899414
chameleon,0,0.5,degree,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.8880105401844532,683.0,2022.0,657.0,0.9619326500732065,0.3249258160237389,0.4857670979667283,0.32080078125,70.60578155517578,9.441025733947754
chameleon,0,0.75,degree,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.5814668423364076,683.0,1324.0,409.0,0.5988286969253295,0.30891238670694865,0.40757349277528654,0.25594493116395495,66.8997573852539,8.96065616607666
chameleon,0,0.0,support_neighbor_entropy,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.9762845849802372,114.0,2223.0,114.0,1.0,0.05128205128205128,0.09756097560975609,0.05128205128205128,0.7858963012695312,0.1367672234773636
chameleon,0,0.5,support_neighbor_entropy,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.8880105401844532,114.0,2022.0,113.0,0.9912280701754386,0.05588526211671612,0.10580524344569288,0.055857637172516066,0.7857213020324707,0.1420159786939621
chameleon,0,0.75,support_neighbor_entropy,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.5814668423364076,114.0,1324.0,55.0,0.4824561403508772,0.04154078549848943,0.07649513212795549,0.03976861894432393,0.7853373885154724,0.10892082005739212
chameleon,0,0.0,support_neighbor_entropy,0.1,0.10013175230566534,0.7700742483139038,0.9762845635414124,0.9762845849802372,228.0,2223.0,228.0,1.0,0.10256410256410256,0.18604651162790695,0.10256410256410256,0.7454459071159363,0.10429704189300537
chameleon,0,0.5,support_neighbor_entropy,0.1,0.10013175230566534,0.7700742483139038,0.9762845635414124,0.8880105401844532,228.0,2022.0,225.0,0.9868421052631579,0.11127596439169139,0.2,0.1111111111111111,0.7458076477050781,0.1068938747048378
chameleon,0,0.75,support_neighbor_entropy,0.1,0.10013175230566534,0.7700742483139038,0.9762845635414124,0.5814668423364076,228.0,1324.0,123.0,0.5394736842105263,0.09290030211480363,0.15850515463917528,0.086074177746676,0.7411754727363586,0.07514528185129166
chameleon,0,0.0,support_neighbor_entropy,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.9762845849802372,342.0,2223.0,342.0,1.0,0.15384615384615385,0.2666666666666667,0.15384615384615385,0.709009051322937,0.07206441462039948
chameleon,0,0.5,support_neighbor_entropy,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.8880105401844532,342.0,2022.0,339.0,0.9912280701754386,0.16765578635014836,0.2868020304568527,0.1674074074074074,0.7089266777038574,0.07104507833719254
chameleon,0,0.75,support_neighbor_entropy,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.5814668423364076,342.0,1324.0,177.0,0.5175438596491229,0.1336858006042296,0.21248499399759904,0.11887172599059771,0.7109795808792114,0.048448726534843445
